SEXO,EDAD_TRAMO,COMUNA,n,peso_medio,costo_medio,dias_medio,z_peso_medio,z_costo_medio,score_perfil
HOMBRE,0-17,PUCHUNCAVÍ,90,6.744093333333333,330.8692011111111,7.233333333333333,0.3588130315137875,2.167854909537538,2.5266679410513255
HOMBRE,40-64,CHOLCHOL,112,8.076255357142857,276.9305892857143,11.678571428571429,0.8717583356789159,1.6461405596666863,2.5178988953456023
MUJER,0-17,MARIA PINTO,63,7.128968253968254,314.6267079365079,10.412698412698413,0.5070080556190812,2.0107514639705544,2.5177595195896356
HOMBRE,65+,LA LIGUA,203,10.914164532019706,163.04527339901477,8.152709359605911,1.9644874173392952,0.5445993533412699,2.509086770680565
MUJER,0-17,ESTACIÓN CENTRAL,650,6.2458001538461545,347.82271892307693,7.681538461538461,0.1669466204112252,2.3318356503086424,2.4987822707198677
HOMBRE,65+,CONCHALÍ,663,8.700766968325793,249.10271312217196,9.242835595776771,1.112224804942784,1.3769789733814195,2.4892037783242036
MUJER,40-64,"O""HIGGINS",24,10.197683333333334,188.79122500000003,6.375,1.6886083126806826,0.7936237895799124,2.482232102260595
HOMBRE,65+,ESTACIÓN CENTRAL,957,10.27172842215256,185.51413740856844,9.290491118077325,1.717119169413934,0.7619265774275494,2.4790457468414835
HOMBRE,65+,ANTUCO,36,11.329669444444443,141.6196527777778,7.666666666666667,2.124476435098809,0.33736276799546355,2.4618392030942724
HOMBRE,65+,RENGO,194,10.50186237113402,173.62719948453605,5.649484536082475,1.8057316102050671,0.6469516850245578,2.452683295229625
